source	dataset	paper_dataset	recall_tag	paper_metric	series	pdf_page_1based	pdf_page_0based	drawing_index	point_index	pdf_x	pdf_y	recall	log10_qps	qps	plot_default
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	17	16	266	8	132.18678283691406	176.56967163085938	0.909997752434279	5.728567325532174	535263.1253105125	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	17	16	266	9	133.46444702148438	179.39791870117188	0.9199977069177689	5.56656440020782	368607.69751436706	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	17	16	266	10	136.01974487304688	180.6190643310547	0.9399973770313819	5.496616775629814	313773.871019989	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	17	16	266	11	139.2138671875	182.6082763671875	0.9649969646733978	5.382674053890048	241364.86661490533	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	17	16	266	12	141.13037109375	186.1314697265625	0.9799969561119743	5.180864375841299	151657.6687582027	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-H	17	16	266	13	142.4080352783203	187.58721923828125	0.9899969105954642	5.097478563507769	125163.74914971564	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-M	17	16	287	0	121.96553039550781	171.0047607421875	0.829998594273094	6.04732725729251	1115134.5130406094	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-M	17	16	287	1	129.6314697265625	173.11593627929688	0.8899979628939827	5.926398425976815	844108.7962648731	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-M	17	16	287	2	130.90911865234375	174.1835479736328	0.8999977979507892	5.865245275883106	733238.5263129169	1
juno++_fig8_vector	sift1m	SIFT1M	r100	R100@1000	JUNO-M	17	16	287	3	133.97549438476562	176.09942626953125	0.9239975453991447	5.75550313497931	569512.335170134	1
